symbol,category
AAPL,Tech
ABBV,Healthcare
ABT,Other
ADBE,Other
AGG,Other
AMD,Other
AMT,Other
AMZN,Tech
APD,Other
AVGO,Other
AXP,Other
BA,Other
BAC,Financial
BLK,Other
BMY,Other
C,Financial
CAT,Other
CCI,Other
CHTR,Other
CMCSA,Other
COP,Energy
COST,Other
CRM,Other
CSCO,Other
CVX,Energy
D,Other
DD,Other
DE,Other
DHR,Other
DIA,ETF
DIS,Other
DOW,Other
DUK,Other
ECL,Other
EOG,Energy
EQIX,Other
FCX,Other
GE,Other
GOOGL,Tech
GS,Financial
HD,Consumer
HON,Other
INTC,Other
IWM,ETF
JNJ,Healthcare
JPM,Financial
LIN,Other
LLY,Other
LMT,Other
LOW,Other
MA,Financial
MCD,Consumer
META,Tech
MMM,Other
MRK,Healthcare
MS,Financial
MSFT,Tech
NEE,Other
NEM,Other
NFLX,Tech
NKE,Consumer
NOW,Other
NVDA,Tech
O,Other
ORCL,Other
PFE,Healthcare
PLD,Other
PSA,Other
PXD,Other
QCOM,Other
QQQ,ETF
RTX,Other
SBUX,Consumer
SHW,Other
SLB,Energy
SO,Other
SPG,Other
SPY,ETF
T,Other
TGT,Other
TLT,Other
TMO,Healthcare
TMUS,Other
TSLA,Tech
TXN,Other
UNH,Healthcare
UNP,Other
UPS,Other
V,Financial
VEA,Other
VOO,Other
VTI,ETF
VWO,Other
VZ,Other
WELL,Other
WFC,Financial
WMT,Consumer
XOM,Energy
